Contract_ID,Plan_Name,Overall_Stars,Member Experience (HD3),Getting_Needed_Care,Getting_Care_Quickly,Customer_Service,Rating_Health_Quality,Rating_Health_Plan,Care_Coordination
H5211,"Security Health Plan of Wisconsin, Inc.",4,4,3,4,5,2,3,5
H5215,Network Health Medicare Advantage Plans,5,5,5,5,5,5,5,5
H5244,SCAN Health Plan New Mexico,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5262,Quartz Medicare Advantage,4,4,3,4,5,5,4,5
H5273,CarePartners of Connecticut,3.5,4,3,3,3,5,4,3
H5361,AmeriHealth,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5386,Sharp Health Plan,4,4,2,2,5,5,5,3
H5427,"Freedom Health, Inc.",4,3,2,4,2,2,3,3
H5431,"HealthSun Health Plans, Inc.",5,5,5,5,5,5,5,5
H5433,CalOptima Health OneCare,2.5,1,1,1,1,1,2,1
H5434,Florida Blue,3.5,4,4,4,3,4,3,4
H5471,"Simply Healthcare Plans, Inc.",4.5,4,4,4,4,5,5,4
H5549,VNS Health Medicare,3.5,2,2,3,1,2,2,1
H5577,MCS Classicare,5,4,2,3,4,5,5,4
H5580,Mercy Care Advantage,2.5,2,2,2,2,2,3,1
H5587,BCBSAZ Health Choice,3,2,2,1,3,2,3,1
H5594,"Optimum HealthCare, Inc.",5,4,5,5,3,4,5,4
H5599,Wellcare by Fidelis Care,3.5,3,4,4,1,3,2,4
H5608,Elevate Medicare Advantage,3.5,3,3,1,3,4,2,4
H5628,Molina Healthcare of Utah & Idaho,3,3,3,3,1,3,2,3
H5649,Central Health Medicare Plan,2.5,1,1,1,1,1,1,1
H5774,Triple S Advantage,4,3,1,3,3,5,5,3
H5823,"Molina Healthcare of Washington, Inc.",3,1,1,2,1,1,1,2
H5826,Community Health Plan of WA Medicare Advantage,3,2,1,1,3,2,2,2
H5852,AHF,3.5,3,3,3,2,3,3,Not enough data available
H5859,CareOregon Advantage,3.5,2,1,1,1,2,3,Not enough data available
H5883,Blue Care Network,4.5,4,4,4,3,4,4,4
H5900,Wellmark Advantage Health Plan,4.5,5,5,5,4,5,4,5
H5926,Molina Healthcare of Michigan,3,2,3,2,3,1,1,3
H5932,Highmark Wholecare Medicare Assured,4.5,5,5,4,4,5,5,4
H5938,Capital Health Plan,4.5,5,5,5,5,5,5,2
H5945,Prominence Health Plan,4,3,3,3,3,4,4,3
H5969,AlohaCare,3,3,3,2,2,4,3,Not enough data available
H6019,HEALTH PLAN OF SAN MATEO,3,2,1,1,2,3,2,1
H6078,Blue Medicare Advantage,3,4,3,3,3,4,5,3
H6170,Champion Heath Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6202,NextBlue of North Dakota,4,5,5,5,5,4,4,5
H6306,FirstMedicare Direct,4,5,5,5,5,5,5,5
H6322,McLaren Medicare,3,3,4,3,4,4,2,3
H6396,CareSource,3.5,3,4,3,3,3,2,4
H6399,Aetna Better Health of New Jersey,3,3,4,4,2,3,2,3
H6474,Champion Health Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6529,MyTruAdvantage,4,5,4,5,5,5,4,5
H6727,University of Michigan Health Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6851,WellSense Health Plan,2.5,1,1,1,2,Not enough data available,1,Not enough data available
H6874,Aspirus Health Plan,4,4,5,4,4,3,3,5
H6898,Vermont Blue Advantage,3.5,3,3,3,4,3,2,3
H6910,Saint Alphonsus Health Plan,4,4,3,3,4,4,4,4
H6988,Centers Plan for Healthy Living,3.5,4,4,4,3,3,3,4
H7063,Blue Cross and Blue Shield of Kansas,3.5,4,5,5,4,4,2,3
H7115,Memorial Hermann Health Plan,3.5,4,5,4,3,5,4,4
H7220,Indiana University Health Plans,3.5,4,3,3,4,4,4,4
H7379,CareFirst BlueCross BlueShield Medicare Advantage,3.5,4,5,4,3,4,3,4
H7559,Molina Healthcare of Virginia,2.5,3,3,2,1,3,2,4
H7670,Mass Advantage,3.5,4,3,4,4,4,3,3
H7678,"Molina Healthcare of Texas, Inc.",3,3,3,3,2,4,2,3
H7917,BlueCross BlueShield of Tennessee,4.5,5,5,5,5,5,5,5
H8003,Blue Cross Blue Shield of South Carolina,4,4,4,5,5,3,4,3
H8133,Blue Cross and Blue Shield of Texas,3.5,3,3,Not enough data available,3,3,3,4
H8176,Molina Healthcare of South Carolina,3,3,3,4,3,3,2,4
H8298,Horizon Blue Cross Blue Shield of New Jersey,3.5,3,2,3,3,3,4,3
H8385,Align powered by Sanford Health Plan,4.5,4,5,4,3,4,4,5
H8547,Blue Cross and Blue Shield of Illinois,3.5,4,3,Not enough data available,3,4,3,5
H8764,Aspire Health,3,2,2,1,4,2,3,2
H8879,"Healthy Mississippi, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8894,IEHP DualChoice,3,3,3,2,4,3,4,1
H8928,Fallon Health,3.5,3,3,3,3,3,5,1
H8947,Peak Health,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9047,Providence Medicare Advantage Plans,4,3,2,2,4,3,4,4
H9065,AMH Health,3,2,3,2,Not enough data available,2,1,3
H9096,Dean Advantage,4,4,3,3,4,4,2,5
H9179,Trinity Health Plan of Michigan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9306,Alterwood Advantage,3.5,3,4,3,4,3,3,3
H9485,Mass General Brigham Health Plan,3.5,4,3,5,2,5,4,5
H9529,WyoBlue Advantage,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9572,Blue Cross Blue Shield of Michigan,4.5,4,4,5,3,3,4,3
H9690,American Health Advantage of Indiana,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H9763,Ochsner Health Plan,3.5,4,3,2,4,5,4,5
H9955,Molina Healthcare of Ohio,3,3,4,4,1,3,1,4
H9968,American Health Advantage of Pennsylvania,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
